H3_int_index_8;count;geometry;alpha_num;H3_str;label
615115291560509439;256;POLYGON ((128.1583781160798 -3.666873935829328, 128.1575846663536 -3.671870368389615, 128.161522585889 -3.675164516004455, 128.1662540988173 -3.673462293889299, 128.1670476498704 -3.668465766361141, 128.1631095866752 -3.665171555906655, 128.1583781160798 -3.666873935829328));8895419415fffff;8895419415fffff;RB_berth_7
615115291558412287;28236;POLYGON ((128.1725730039284 -3.661766530561458, 128.1717793796427 -3.666763332552224, 128.1757176006107 -3.670057584011588, 128.1804495893627 -3.668355096312006, 128.1812433149324 -3.663358199502438, 128.1773049504729 -3.6600638852019, 128.1725730039284 -3.661766530561458));8895419413fffff;8895419413fffff;RB_berth_7
615115291774418943;782;POLYGON ((128.178862183379 -3.678348435843568, 128.1780685029647 -3.683344878421587, 128.1820067522144 -3.68663908564263, 128.1867388252943 -3.684936913245124, 128.1875326069682 -3.679940375987881, 128.1835942143094 -3.676646105798012, 128.178862183379 -3.678348435843568));88954194e1fffff;88954194e1fffff;RB_berth_7
615115292034465791;5969;POLYGON ((128.1678114840067 -3.691745071139167, 128.1670179500371 -3.696740964079369, 128.1709559122775 -3.70003504526937, 128.1756875520309 -3.698333296540892, 128.1764811872908 -3.693337308842198, 128.172543081514 -3.690043164621113, 128.1678114840067 -3.691745071139167));88954195d9fffff;88954195d9fffff;RB_berth_7
615115291778613247;14135;POLYGON ((128.17333668871 -3.685046996774922, 128.172543081514 -3.690043164621113, 128.1764811872908 -3.693337308842198, 128.1812130437434 -3.691635348207698, 128.1820067522144 -3.68663908564263, 128.1780685029647 -3.683344878421587, 128.17333668871 -3.685046996774922));88954194e5fffff;88954194e5fffff;RB_berth_7
615115292026077183;1830;POLYGON ((128.1709559122775 -3.70003504526937, 128.1701623502368 -3.705030757927578, 128.1741003266644 -3.708324816555355, 128.178832008635 -3.706623225610405, 128.1796256719538 -3.701627418263515, 128.1756875520309 -3.698333296540892, 128.1709559122775 -3.70003504526937));88954195d1fffff;88954195d1fffff;RB_berth_7
615115292038660095;1998;POLYGON ((128.1622865693491 -3.698442658619133, 128.161493108614 -3.703438276479274, 128.1654309272544 -3.706732294607074, 128.1701623502368 -3.705030757927578, 128.1709559122775 -3.70003504526937, 128.1670179500371 -3.696740964079369, 128.1622865693491 -3.698442658619133));88954195ddfffff;88954195ddfffff;RB_berth_7
615115291556315135;5230;POLYGON ((128.1639031096493 -3.660174848844127, 128.1631095866752 -3.665171555906655, 128.1670476498704 -3.668465766361141, 128.1717793796427 -3.666763332552224, 128.1725730039284 -3.661766530561458, 128.168634797137 -3.658472257298488, 128.1639031096493 -3.660174848844127));8895419411fffff;8895419411fffff;RB_berth_7
615115291782807551;2881;POLYGON ((128.1757176006107 -3.670057584011588, 128.1749239482583 -3.675054206398189, 128.178862183379 -3.678348435843568, 128.1835942143094 -3.676646105798012, 128.1843879679337 -3.671649388662397, 128.1804495893627 -3.668355096312006, 128.1757176006107 -3.670057584011588));88954194e9fffff;88954194e9fffff;RB_berth_7
615115291742961663;327;POLYGON ((128.1954404063805 -3.658249836820485, 128.1946465063606 -3.663247102548289, 128.1985851856467 -3.666541498582402, 128.2033179081779 -3.664838691754774, 128.2041119094114 -3.659841331466841, 128.200173086907 -3.656546872557318, 128.1954404063805 -3.658249836820485));88954194c3fffff;88954194c3fffff;RB_berth_10
615115292260958207;205;POLYGON ((128.1946773193269 -3.634964732150188, 128.1938834021928 -3.63996263024742, 128.1978221967446 -3.643257132884508, 128.2025550516743 -3.641553800131518, 128.203349070031 -3.636555807374395, 128.1994101322424 -3.633261242020786, 128.1946773193269 -3.634964732150188));88954196b1fffff;88954196b1fffff;RB_berth_10
615115291766030335;279;POLYGON ((128.2064940034099 -3.64484834379045, 128.2056999570273 -3.64984615741261, 128.2096389226861 -3.653140679166416, 128.2143720778253 -3.651437450101795, 128.2151662253908 -3.646439541999039, 128.2112271166412 -3.643144957432129, 128.2064940034099 -3.64484834379045));88954194d9fffff;88954194d9fffff;RB_berth_10
